Id,State,Code
1,Aguascalientes,AGU
2,Baja California,BCN
3,Baja California Sur,BCS
4,Campeche,CAM
7,Chiapas,CHP
8,Chihuahua,CHH
9,Ciudad de México,CDMX
5,Coahuila,COA
6,Colima,COL
10,Durango,DUR
11,Guanajuato,GUA
12,Guerrero,GRO
13,Hidalgo,HID
14,Jalisco,JAL
15,México,MEX
16,Michoacán,MIC
17,Morelos,MOR
18,Nayarit,NAY
19,Nuevo León,NLE
20,Oaxaca,OAX
21,Puebla,PUE
22,Querétaro,QUE
23,Quintana Roo,ROO
24,San Luis Potosí,SLP
25,Sinaloa,SIN
26,Sonora,SON
27,Tabasco,TAB
28,Tamaulipas,TAM
29,Tlaxcala,TLA
30,Veracruz,VER
31,Yucatán,YUC
32,Zacatecas,ZAC
33,United States,USA
34,Latinamerica,LAT
35,Rest World,WLD
88,No Aplica,NAP
99,No Aplica,UNK